instant,dteday_by_hour,season_by_hour,yr_by_hour,mnth_by_hour,hr,holiday_by_hour,weekday_by_hour,workingday_by_hour,weathersit_by_hour,temp_by_hour,atemp_by_hour,hum_by_hour,windspeed_by_hour,casual_by_hour,registered_by_hour,cnt_by_hour,dteday_by_day,season_by_day,yr_by_day,mnth_by_day,holiday_by_day,weekday_by_day,workingday_by_day,weathersit_by_day,temp_by_day,atemp_by_day,hum_by_day,windspeed_by_day,casual_by_day,registered_by_day,cnt_by_day
1,2011-01-01,4,0,1,0,0,6,0,1,9.84,14.395,81.0,0.0,3,13,16,2011-01-01,4.0,0.0,1.0,0.0,6.0,0.0,2.0,14.110847,18.18125,80.58330000000001,10.749882,331.0,654.0,985.0
2,2011-01-02,4,0,1,1,0,6,0,1,9.02,13.635,80.0,0.0,8,32,40,2011-01-02,4.0,0.0,1.0,0.0,0.0,0.0,2.0,14.902598000000001,17.686950000000003,69.6087,16.652113,131.0,670.0,801.0
3,2011-01-03,4,0,1,2,0,6,0,1,9.02,13.635,80.0,0.0,5,27,32,2011-01-03,4.0,0.0,1.0,0.0,1.0,1.0,1.0,8.050924,9.47025,43.7273,16.636703,120.0,1229.0,1349.0
4,2011-01-04,4,0,1,3,0,6,0,1,9.84,14.395,75.0,0.0,3,10,13,2011-01-04,4.0,0.0,1.0,0.0,2.0,1.0,1.0,8.200000000000001,10.6061,59.0435,10.739832,108.0,1454.0,1562.0
5,2011-01-05,4,0,1,4,0,6,0,1,9.84,14.395,75.0,0.0,0,1,1,2011-01-05,4.0,0.0,1.0,0.0,3.0,1.0,1.0,9.305237,11.4635,43.695699999999995,12.522300000000001,82.0,1518.0,1600.0
6,2011-01-06,4,0,1,5,0,6,0,2,9.84,12.879999999999999,75.0,6.0032,0,1,1,2011-01-06,4.0,0.0,1.0,0.0,4.0,1.0,1.0,8.378268,11.66045,51.8261,6.0008684,88.0,1518.0,1606.0
7,2011-01-07,4,0,1,6,0,6,0,1,9.02,13.635,80.0,0.0,2,0,2,2011-01-07,4.0,0.0,1.0,0.0,5.0,1.0,2.0,8.057402,10.44195,49.8696,11.304642,148.0,1362.0,1510.0
8,2011-01-08,4,0,1,7,0,6,0,1,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,2011-01-08,4.0,0.0,1.0,0.0,6.0,0.0,2.0,6.765000000000001,8.1127,53.5833,17.875868,68.0,891.0,959.0
9,2011-01-09,4,0,1,8,0,6,0,1,9.84,14.395,75.0,0.0,1,7,8,2011-01-09,4.0,0.0,1.0,0.0,0.0,0.0,1.0,5.671653,5.80875,43.416700000000006,24.25065,54.0,768.0,822.0
10,2011-01-10,4,0,1,9,0,6,0,1,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,2011-01-10,4.0,0.0,1.0,0.0,1.0,1.0,1.0,6.184153,7.5443999999999996,48.2917,14.958889,41.0,1280.0,1321.0
11,2011-01-11,4,0,1,10,0,6,0,1,15.58,19.695,76.0,16.997899999999998,12,24,36,2011-01-11,4.0,0.0,1.0,0.0,2.0,1.0,2.0,6.9327309999999995,9.5732,68.6364,8.182844000000001,43.0,1220.0,1263.0
12,2011-01-12,4,0,1,11,0,6,0,1,14.76,16.665,81.0,19.0012,26,30,56,2011-01-12,4.0,0.0,1.0,0.0,3.0,1.0,1.0,7.0818069999999995,8.02365,59.954499999999996,20.410009,25.0,1137.0,1162.0
13,2011-01-13,4,0,1,12,0,6,0,1,17.22,21.21,77.0,19.0012,29,55,84,2011-01-13,4.0,0.0,1.0,0.0,4.0,1.0,1.0,6.765000000000001,7.544149999999999,47.0417,20.166999999999998,38.0,1368.0,1406.0
14,2011-01-14,4,0,1,13,0,6,0,2,18.86,22.725,72.0,19.999499999999998,47,47,94,2011-01-14,4.0,0.0,1.0,0.0,5.0,1.0,1.0,6.59567,9.42065,53.7826,8.478716,54.0,1367.0,1421.0
